;Job Title;min_salary;max_salary;Rating;Company Name;python;excel;hadoop;spark;aws;tableau;big_data
0;Sr Data Scientist;137;171;3.1;Healthfirst;0;0;0;0;1;0;0
1;DATA SCIENTIST;137;171;4.2;ManTech;0;0;1;0;0;0;1
2;Data Scientist;137;171;3.8;Analysis Group;1;1;0;0;1;0;0
3;Data Scientist;137;171;3.5;INFICON;1;1;0;0;1;0;0
4;Data Scientist;137;171;2.9;Affinity Solutions;1;1;0;0;0;0;0
5;Data Scientist;137;171;4.2;HG Insights;1;1;1;1;0;0;0
6;Data Scientist / Machine Learning Expert;137;171;3.9;Novartis;1;0;0;0;0;0;0
7;Data Scientist;137;171;3.5;iRobot;1;0;0;0;0;0;0
8;Staff Data Scientist - Analytics;137;171;4.4;Intuit - Data;0;0;0;0;0;0;0
9;Data Scientist;137;171;3.6;XSELL Technologies;1;0;0;0;0;0;0
10;Data Scientist;137;171;4.5;Novetta;1;1;0;0;1;0;0
11;Data Scientist;137;171;4.7;1904labs;1;0;0;1;0;0;0
12;Data Scientist - Statistics, Early Career;137;171;3.7;PNNL;0;1;0;0;0;0;0
13;Data Modeler;137;171;3.1;Old World Industries;1;1;0;0;0;1;0
14;Data Scientist;137;171;3.4;Mathematica Policy Research;1;1;0;0;1;0;0
15;Experienced Data Scientist;137;171;4.4;Guzman & Griffin Technologies (GGTI);1;1;1;1;0;1;0
16;Data Scientist;137;171;3.5;Buckman;1;0;1;0;0;0;0
17;Data Analyst II;137;171;4.2;Insight Enterprises, Inc.;0;1;0;0;0;0;0
18;Medical Lab Scientist;137;171;3.5;Tower Health;0;0;0;0;0;0;0
19;Data Scientist;137;171;3.2;Triplebyte;0;0;0;0;0;0;0
20;Data Scientist/Machine Learning;137;171;4.3;PulsePoint;1;0;1;1;0;0;1
21;Human Factors Scientist;137;171;3.5;Exponent;0;1;0;0;0;0;0
22;Business Intelligence Analyst I- Data Insights;137;171;3.5;Guardian Life;0;0;0;0;0;0;0
23;Data Scientist;137;171;3.4;Spectrum Communications and Consulting;0;0;0;0;0;0;0
24;DATA SCIENTIST;137;171;4.7;Oversight Systems;1;1;0;0;0;0;0
25;Data Scientist - Risk;137;171;4.2;LSQ;1;1;1;1;1;1;1
26;Data Scientist-Human Resources;137;171;3.8;MIT Lincoln Laboratory;1;0;1;1;0;0;1
27;Data Scientist;137;171;4.5;Kingfisher Systems;1;0;0;0;0;1;0
28;Data Scientist;137;171;2.8;Formation;0;1;0;1;0;0;1
29;Data Scientist;75;131;3.8;Analysis Group;1;1;0;0;1;0;0
30;Data Scientist / Machine Learning Expert;75;131;3.9;Novartis;1;0;0;0;0;0;0
31;Data Scientist;75;131;5.0;Cohere Health;1;1;0;0;0;0;0
32;Senior Research Statistician- Data Scientist;75;131;4.8;Acuity Insurance;0;0;0;0;0;0;0
33;Data Engineer;75;131;3.6;Chef;0;1;0;0;1;0;1
34;Associate Data Scientist;75;131;3.3;Puget Sound Energy;0;1;1;1;0;0;0
35;Business Intelligence Analyst;75;131;2.7;Sandhills Global;1;1;0;0;0;1;0
36;Data Scientist;131;75;2.7;A Place for Mom;1;1;0;0;1;0;0
37;Data Scientist;75;131;2.2;Great-Circle Technologies;1;1;1;1;1;0;0
